FINAL_BOARD,RESULT,X_LONGEST_PATH,O_LONGEST_PATH,X_LONGEST_N1,X_LONGEST_N2,X_LONGEST_N3,X_LONGEST_N4,O_LONGEST_N1,O_LONGEST_N2,O_LONGEST_N3,O_LONGEST_N4
193333275724058,1.0,14,8,5,9,3,1,2,6,0,0
55215927723894,1.0,18,7,4,10,6,2,2,2,4,0
95621237486212,1.0,13,7,6,4,8,0,2,4,2,0
100110719641689,1.0,12,11,2,6,4,1,3,7,3,0
464915563673625,1.0,11,7,5,10,3,0,2,3,2,0
302955134926005,0.0,11,12,3,6,3,0,5,7,5,0
305639922748361,1.0,14,8,5,8,3,1,2,5,2,0
378717559041454,1.0,11,8,2,6,4,0,3,3,3,0
342787477735605,0.0,10,13,2,7,4,0,5,5,7,0
115331807804512,1.0,19,8,1,10,5,4,2,4,2,1
397218405199143,1.0,11,7,4,8,2,0,4,4,2,0
226857451800685,0.0,5,7,2,3,0,0,2,3,2,1
319909531533368,0.5,13,13,2,8,2,2,1,8,3,1
377838637993164,1.0,8,7,3,4,3,0,1,5,1,0
414680288024378,1.0,13,6,4,8,4,0,3,3,1,0
124972968043599,1.0,8,7,3,5,1,0,2,5,0,0
295078706303149,0.0,9,10,2,6,2,0,4,1,6,1
373287915151837,0.0,5,7,1,3,1,0,2,4,2,0
546648502683445,0.0,8,9,4,3,2,2,4,5,2,1
524069053455937,1.0,9,7,3,6,1,0,2,5,0,0
425953912835717,1.0,16,13,4,6,6,2,4,8,4,0
350339597045440,1.0,14,8,5,5,7,0,3,5,1,0
245245774038097,0.0,13,15,3,8,3,0,6,7,6,0
411673113003827,0.0,8,14,2,6,0,0,6,11,4,0
321930236437437,1.0,12,7,3,9,3,0,2,3,2,1
270647928015015,1.0,10,6,1,8,1,0,2,4,0,0
394052030162198,1.0,14,7,5,12,1,2,3,3,3,0
456632656831117,0.0,6,9,2,4,0,0,2,7,0,1
211156484070831,0.0,13,15,3,8,3,0,4,8,4,1
170299974453527,1.0,11,6,1,9,1,0,3,2,3,0
256287303852702,1.0,9,8,3,9,1,0,3,6,1,0
269109046120309,0.5,9,9,2,7,0,1,3,4,3,0
185753610717303,1.0,12,9,4,6,4,1,2,3,4,0
348672878229573,0.0,9,19,1,6,3,0,3,12,5,0
137917926534915,1.0,10,8,6,4,4,1,3,5,1,0
344513922753612,1.0,11,7,3,6,3,0,1,5,1,1
310426003419723,1.0,10,7,5,9,3,0,1,3,3,0
216160461942745,1.0,16,7,2,9,6,0,1,5,1,0
250335008712486,1.0,10,7,3,5,3,0,4,3,2,0
481193033264400,0.0,9,14,5,3,5,0,4,12,2,0
76459811841955,1.0,16,9,5,12,1,3,1,4,3,1
536076798162488,0.0,12,21,3,2,7,1,4,7,10,2
65388422661434,1.0,10,7,2,5,2,2,4,4,0,1
285749572170172,1.0,21,15,2,15,4,0,2,10,4,0
476070469051452,1.0,15,12,4,9,2,4,1,6,3,2
300840513598674,1.0,11,6,4,5,4,1,1,4,1,0
132407528960118,1.0,15,7,5,6,7,1,5,2,3,0
477764738935765,0.0,10,13,2,8,0,0,1,8,3,1
292407915126319,1.0,18,6,6,10,8,0,3,3,1,0
163989264357782,0.5,7,7,2,5,0,0,3,4,1,0
342165783581318,0.0,9,10,3,5,1,1,3,6,3,0
80317664698975,1.0,17,10,4,11,4,2,1,7,1,2
484548899611591,0.5,9,9,3,4,3,0,1,4,3,1
189880325700112,0.5,10,10,5,5,3,1,1,8,1,0
14664019445482,0.0,7,11,3,2,3,1,1,9,1,0
200340983411623,0.5,8,8,1,4,3,0,1,4,3,0
169055142990228,1.0,11,6,5,4,3,2,2,4,0,0
310806680827652,0.5,10,10,5,5,1,3,3,7,1,0
530747458098492,1.0,8,7,3,5,1,0,2,5,0,0
370304252917598,0.0,7,11,1,3,3,0,4,9,2,0
537390491787659,1.0,12,8,5,8,5,0,4,3,4,0
468201051980471,1.0,16,9,4,9,6,0,3,2,5,0
154677639251358,1.0,11,6,5,8,3,0,3,3,1,0
195082279565552,0.0,8,12,0,5,2,1,3,5,5,0
190268558829365,0.0,5,9,3,2,1,0,3,5,3,1
450200780383462,0.5,11,11,3,6,3,1,2,8,2,0
504431113061583,1.0,21,12,3,17,3,0,5,4,5,1
217622734063320,1.0,11,7,3,8,1,0,2,3,2,1
361390425660641,1.0,15,8,4,10,2,1,1,4,3,0
491397227039170,0.0,14,16,3,9,3,0,3,11,3,0
170473413225522,1.0,13,9,6,3,6,2,3,4,3,0
244205889433384,0.0,8,9,4,5,0,1,5,4,3,0
535712642614053,0.0,13,16,4,7,2,3,2,6,8,2
165901297946820,1.0,15,8,6,2,8,3,3,4,3,0
195694300871764,1.0,15,8,4,6,6,1,2,4,2,0
466804514087219,0.5,6,6,3,3,1,0,2,4,0,1
310608330767569,0.0,7,12,3,2,3,0,4,4,4,2
381789494518697,0.0,8,10,2,6,0,0,3,6,3,1
84136093340277,1.0,9,7,1,4,3,1,2,3,2,0
386499395196509,0.0,8,11,2,6,0,0,2,6,2,1
304949079845109,0.0,9,10,2,7,0,0,2,4,4,1
329770560945475,0.0,7,10,5,3,1,1,3,6,1,1
503785871835807,1.0,13,9,5,9,5,1,2,5,2,1
330767104748885,1.0,10,6,5,7,3,0,4,2,2,0
431182220033086,1.0,15,11,3,3,7,3,1,4,5,1
458863428584370,1.0,14,10,4,9,4,0,3,5,3,0
447295832129090,1.0,10,7,4,2,6,0,6,1,4,0
41367976347347,1.0,12,6,2,8,2,1,3,3,1,0
111933512197736,1.0,12,9,3,5,5,1,1,4,3,1
501409641557959,0.0,15,16,4,5,8,1,3,7,5,2
8980171783076,1.0,13,9,5,4,7,1,3,2,5,1
179288744427615,1.0,13,11,4,4,6,1,3,6,3,0
272861147767149,1.0,13,7,6,7,2,2,2,4,2,0
413764593246654,1.0,14,7,2,10,2,0,2,3,2,1
108445574814832,1.0,19,8,3,9,9,2,2,2,4,0
242650911241102,0.0,8,9,1,6,1,0,1,4,3,1
135807459688357,0.0,12,13,6,7,4,0,4,8,6,0
493195784775664,1.0,17,13,4,8,6,1,3,3,7,1
330899473667623,1.0,15,8,6,8,4,1,3,3,3,0
320197682393137,1.0,13,7,5,9,3,2,3,2,3,1
505155080573416,0.0,10,14,4,5,4,1,6,6,8,0
521116191612944,0.0,13,14,2,6,4,3,2,7,4,2
321322937338836,1.0,17,12,3,6,9,0,3,8,1,1
429151752826818,1.0,13,9,4,7,4,0,2,5,2,0
126385471974840,1.0,9,5,0,6,2,1,3,2,1,0
356486108603312,1.0,17,13,3,9,7,2,2,7,2,2
499622398203301,1.0,13,10,4,8,4,0,1,8,1,0
75399290579567,1.0,11,7,6,4,4,1,2,4,2,0
418267869488997,1.0,13,9,3,7,5,0,4,5,2,0
204292296391790,1.0,12,10,2,8,4,0,2,7,2,0
96482706095098,0.0,9,13,1,4,3,1,5,7,7,0
268433677328948,1.0,14,6,3,10,3,1,3,3,1,0
165874783359676,0.5,7,7,2,5,0,0,2,5,0,1
287175258136857,1.0,14,11,6,8,6,0,3,6,3,0
538044806467070,0.0,10,13,2,6,2,0,4,7,6,1
559286409262876,1.0,12,10,5,8,3,0,3,6,3,0
367892324871302,0.0,7,9,1,3,3,0,5,5,1,1
351414988346510,1.0,8,6,4,4,2,0,2,4,0,0
210878315201412,1.0,15,11,5,10,3,1,0,5,4,2
184319555011259,1.0,9,6,2,5,2,1,3,3,1,0
373233527981876,1.0,12,6,5,6,5,0,3,3,1,0
436493556057893,1.0,15,6,3,10,3,1,3,3,1,0
235942012609361,1.0,11,9,5,8,3,0,2,5,2,0
28540920701806,1.0,18,11,3,10,7,0,4,5,4,1
174896900745469,1.0,10,9,4,7,2,0,3,3,3,1
77743538438271,1.0,11,10,3,7,3,0,1,6,3,0
462559957207381,1.0,14,10,4,6,4,2,4,8,2,0
498640091736699,0.0,6,8,3,3,1,0,4,4,2,0
451131476192594,0.0,7,9,2,4,2,0,4,6,0,1
130994612006193,0.0,11,12,2,5,4,0,5,7,5,0
474171633902620,0.0,11,12,4,5,4,1,3,7,3,1
131065578968506,0.0,7,10,3,4,1,0,4,5,2,1
498457984363031,1.0,11,8,3,7,3,0,4,5,2,0
168663183930098,1.0,9,6,4,5,2,1,2,4,0,0
532885535191932,0.0,13,16,3,7,5,0,5,7,7,0
404437291289641,0.0,7,11,3,4,1,1,3,6,3,0
87111886465759,1.0,10,9,3,7,1,0,3,5,3,0
47508804495870,1.0,12,9,3,9,1,0,3,6,1,0
443666284566012,1.0,15,11,3,11,3,1,3,7,3,2
415789430451185,0.5,8,8,2,6,0,0,4,2,4,0
99168338225405,1.0,9,6,3,6,1,0,4,3,2,0
22773752448718,0.0,8,10,2,4,4,0,1,8,1,0
422317511536631,0.5,18,18,2,13,2,4,3,8,7,3
